ONS Code,Region or Country,Road user type,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,
E12000009,South West,Pedestrians,All casualties,"1,813","1,775","1,636","1,638","1,567","1,551","1,476","1,439","1,014","1,178",,,,,,,,,,,,,
E92000001,England,Pedestrians,All casualties,"22,262","21,237","22,087","21,525","21,093","21,706","20,472","19,774","13,493","15,366",,,,,,,,,,,,,
W92000004,Wales,Pedestrians,All casualties,"1,007","1,052",922,848,794,739,713,753,458,518,,,,,,,,,,,,,
S92000003,Scotland,Pedestrians,All casualties,"1,949","1,744","1,739","1,688","1,663","1,360","1,247","1,243",799,770,,,,,,,,,,,,,
K03000001,Great Britain,Pedestrians,All casualties,"25,218","24,033","24,748","24,061","23,550","23,805","22,432","21,770","14,750","16,654",,,,,,,,,,,,,
N92000002,Northern Ireland,Pedestrians,All casualties,,779,769,787,731,729,687,638,483,535,,,,,,,,,,,,,
K02000001,United Kingdom,Pedestrians,All casualties,,"24,812","25,517","24,848","24,281","24,534","23,119","22,408","15,233","17,189",,,,,,,,,,,,,
E12000001,North East,Pedal cyclists,All casualties,610,619,650,628,537,516,484,501,525,454,,,,,,,,,,,,,
E12000002,North West,Pedal cyclists,All casualties,"1,966","1,901","2,161","1,659","1,697","1,913","1,793","1,610","1,524","1,661",,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,Pedal cyclists,All casualties,"1,676","1,766","1,917","1,742","1,756","1,726","1,571","1,549","1,417","1,300",,,,,,,,,,,,,
E12000004,East Midlands,Pedal cyclists,All casualties,"1,275","1,256","1,417","1,290","1,172","1,104","1,046","1,034",967,"1,004",,,,,,,,,,,,,
E12000005,West Midlands,Pedal cyclists,All casualties,"1,248","1,264","1,383","1,263","1,273","1,228","1,061","1,022",889,923,,,,,,,,,,,,,
E12000006,East of England,Pedal cyclists,All casualties,"1,706","1,752","1,894","1,703","1,778","1,675","1,529","1,463","1,318","1,240",,,,,,,,,,,,,
E12000007,London,Pedal cyclists,All casualties,"4,619","4,625","5,150","4,477","4,426","4,506","4,756","4,630","4,791","5,283",,,,,,,,,,,,,
E12000008,South East,Pedal cyclists,All casualties,"3,059","3,336","3,605","3,251","3,231","3,043","2,816","2,665","2,629","2,399",,,,,,,,,,,,,
E12000009,South West,Pedal cyclists,All casualties,"1,560","1,537","1,656","1,528","1,372","1,435","1,442","1,434","1,262","1,319",,,,,,,,,,,,,
E92000001,England,Pedal cyclists,All casualties,"17,719","18,056","19,833","17,541","17,242","17,146","16,498","15,908","15,322","15,583",,,,,,,,,,,,,
W92000004,Wales,Pedal cyclists,All casualties,474,496,567,509,446,446,416,410,372,363,,,,,,,,,,,,,
S92000003,Scotland,Pedal cyclists,All casualties,898,886,887,794,789,729,636,565,600,512,,,,,,,,,,,,,
